condition,time_h,OD600_bsub_mean,OD600_bsub_std,n_reps
MP,0.3258,0.0711,0.0098,3
MP,0.6592,0.0713,0.0084,3
MP,0.9925,0.0713,0.0076,3
MP,1.3258,0.071,0.0072,3
MP,1.6592,0.0707,0.007,3
MP,1.9925,0.071,0.0066,3
MP,2.3258,0.0699,0.007,3
MP,2.6592,0.0719,0.0046,3
MP,2.9925,0.0706,0.0071,3
MP,3.3258,0.0697,0.0065,3
MP,3.6592,0.0699,0.0075,3
MP,3.9925,0.0692,0.007,3
MP,4.3258,0.0697,0.009,3
MP,4.6592,0.0697,0.0081,3
MP,4.9925,0.0696,0.0081,3
MP,5.3258,0.0704,0.0081,3
MP,5.6592,0.071,0.0085,3
MP,5.9925,0.0717,0.0091,3
MP,6.3258,0.0721,0.009,3
MP,6.6592,0.0729,0.0095,3
MP,6.9925,0.0744,0.01,3
MP,7.3258,0.0753,0.0096,3
MP,7.6592,0.0767,0.0101,3
MP,7.9925,0.0782,0.0106,3
MP,8.3258,0.0807,0.0111,3
MP,8.6592,0.0829,0.0111,3
MP,8.9925,0.0859,0.0111,3
MP,9.3258,0.0892,0.0119,3
MP,9.6592,0.0923,0.0122,3
MP,9.9925,0.0961,0.0118,3
MP,10.3258,0.1004,0.0129,3
MP,10.6592,0.1041,0.0125,3
MP,10.9925,0.1091,0.0132,3
MP,11.3258,0.1148,0.0138,3
MP,11.6592,0.1191,0.0132,3
MP,11.9925,0.1248,0.0146,3
MP,12.3258,0.1301,0.014,3
MP,12.6592,0.1361,0.014,3
MP,12.9925,0.1421,0.0148,3
MP,13.3258,0.1488,0.0145,3
MP,13.6592,0.155,0.0148,3
MP,13.9925,0.1624,0.015,3
MP,14.3258,0.1698,0.0153,3
MP,14.6592,0.1794,0.0182,3
MP,14.9925,0.1991,0.0364,3
MP,15.3258,0.1908,0.0153,3
MP,15.6592,0.1991,0.0147,3
MP,15.9925,0.2064,0.0159,3
MP,16.3258,0.2151,0.0165,3
MP,16.6592,0.2234,0.0169,3
MP,16.9925,0.2311,0.0174,3
MP,17.3258,0.2408,0.018,3
MP,17.6592,0.2494,0.0187,3
MP,17.9925,0.2898,0.0653,3
MP,18.3258,0.2691,0.0178,3
MP,18.6592,0.2791,0.0168,3
MP,18.9925,0.2878,0.0157,3
MP,19.3258,0.2964,0.0153,3
MP,19.6592,0.3038,0.0131,3
MP,19.9925,0.3096,0.011,3
MP,20.3258,0.3131,0.0089,3
MP,20.6592,0.3164,0.006,3
MP,20.9925,0.3174,0.0035,3
MP,21.3258,0.3176,0.0023,3
MP,21.6592,0.3171,0.0026,3
MP,21.9925,0.3161,0.0026,3
MP,22.3258,0.3481,0.0607,3
MP,22.6592,0.3128,0.0032,3
MP,22.9925,0.3104,0.0031,3
