time_h,well,row,col,condition,replicate,OD600_raw,blank_mean,OD600_blank_subtracted,temperature_C
0.3258,B2,B,2,MPOB_008,1,0.217,0.1269,0.0901,30.0
0.6592,B2,B,2,MPOB_008,1,0.212,0.127,0.085,30.1
0.9925,B2,B,2,MPOB_008,1,0.216,0.127,0.089,30.0
1.3258,B2,B,2,MPOB_008,1,0.224,0.127,0.097,30.1
1.6592,B2,B,2,MPOB_008,1,0.234,0.127,0.107,30.1
1.9925,B2,B,2,MPOB_008,1,0.241,0.127,0.114,30.1
2.3258,B2,B,2,MPOB_008,1,0.249,0.1271,0.1219,30.1
2.6592,B2,B,2,MPOB_008,1,0.259,0.1271,0.1319,30.1
2.9925,B2,B,2,MPOB_008,1,0.267,0.1271,0.1399,30.0
3.3258,B2,B,2,MPOB_008,1,0.277,0.127,0.15,30.0
3.6592,B2,B,2,MPOB_008,1,0.287,0.1271,0.1599,30.1
3.9925,B2,B,2,MPOB_008,1,0.298,0.1271,0.1709,30.0
4.3258,B2,B,2,MPOB_008,1,0.309,0.1273,0.1817,30.0
4.6592,B2,B,2,MPOB_008,1,0.322,0.127,0.195,30.0
4.9925,B2,B,2,MPOB_008,1,0.335,0.1271,0.2079,30.0
5.3258,B2,B,2,MPOB_008,1,0.351,0.1273,0.2237,30.0
5.6592,B2,B,2,MPOB_008,1,0.363,0.127,0.236,30.0
5.9925,B2,B,2,MPOB_008,1,0.379,0.127,0.252,30.1
6.3258,B2,B,2,MPOB_008,1,0.394,0.1273,0.2668,30.0
6.6592,B2,B,2,MPOB_008,1,0.411,0.1271,0.2839,30.0
6.9925,B2,B,2,MPOB_008,1,0.43,0.1269,0.3031,30.0
7.3258,B2,B,2,MPOB_008,1,0.448,0.127,0.321,30.0
7.6592,B2,B,2,MPOB_008,1,0.468,0.1273,0.3407,30.0
7.9925,B2,B,2,MPOB_008,1,0.487,0.1271,0.3599,30.0
8.3258,B2,B,2,MPOB_008,1,0.509,0.1273,0.3818,30.0
8.6592,B2,B,2,MPOB_008,1,0.53,0.1271,0.4029,30.0
8.9925,B2,B,2,MPOB_008,1,0.554,0.1271,0.4269,30.0
9.3258,B2,B,2,MPOB_008,1,0.578,0.1271,0.4509,30.0
9.6592,B2,B,2,MPOB_008,1,0.602,0.127,0.475,30.1
9.9925,B2,B,2,MPOB_008,1,0.626,0.1269,0.4991,30.0
10.3258,B2,B,2,MPOB_008,1,0.654,0.1269,0.5271,30.0
10.6592,B2,B,2,MPOB_008,1,0.679,0.1269,0.5521,30.0
10.9925,B2,B,2,MPOB_008,1,0.703,0.1269,0.5761,30.1
11.3258,B2,B,2,MPOB_008,1,0.721,0.1269,0.5941,30.0
11.6592,B2,B,2,MPOB_008,1,0.731,0.1269,0.6041,30.0
11.9925,B2,B,2,MPOB_008,1,0.74,0.1269,0.6131,30.0
12.3258,B2,B,2,MPOB_008,1,0.745,0.1269,0.6181,30.0
12.6592,B2,B,2,MPOB_008,1,0.747,0.1269,0.6201,30.0
12.9925,B2,B,2,MPOB_008,1,0.746,0.1269,0.6191,30.0
13.3258,B2,B,2,MPOB_008,1,0.744,0.1269,0.6171,30.0
13.6592,B2,B,2,MPOB_008,1,0.742,0.127,0.615,30.0
13.9925,B2,B,2,MPOB_008,1,0.739,0.1269,0.6121,30.1
14.3258,B2,B,2,MPOB_008,1,0.735,0.1269,0.6081,30.0
14.6592,B2,B,2,MPOB_008,1,0.732,0.1269,0.6051,30.0
14.9925,B2,B,2,MPOB_008,1,0.73,0.1269,0.6031,30.0
15.3258,B2,B,2,MPOB_008,1,0.73,0.1269,0.6031,30.0
15.6592,B2,B,2,MPOB_008,1,0.726,0.1269,0.5991,30.0
15.9925,B2,B,2,MPOB_008,1,0.726,0.1269,0.5991,30.0
16.3258,B2,B,2,MPOB_008,1,0.726,0.1269,0.5991,30.0
16.6592,B2,B,2,MPOB_008,1,0.727,0.1269,0.6001,30.1
16.9925,B2,B,2,MPOB_008,1,0.726,0.1269,0.5991,30.0
17.3258,B2,B,2,MPOB_008,1,0.727,0.1269,0.6001,30.0
17.6592,B2,B,2,MPOB_008,1,0.729,0.1269,0.6021,30.0
17.9925,B2,B,2,MPOB_008,1,0.73,0.1269,0.6031,30.0
18.3258,B2,B,2,MPOB_008,1,0.732,0.1269,0.6051,30.0
18.6592,B2,B,2,MPOB_008,1,0.735,0.1269,0.6081,30.0
18.9925,B2,B,2,MPOB_008,1,0.737,0.1269,0.6101,30.1
19.3258,B2,B,2,MPOB_008,1,0.737,0.1269,0.6101,30.1
19.6592,B2,B,2,MPOB_008,1,0.739,0.1269,0.6121,30.0
19.9925,B2,B,2,MPOB_008,1,0.743,0.1268,0.6162,30.0
20.3258,B2,B,2,MPOB_008,1,0.744,0.1269,0.6171,30.0
20.6592,B2,B,2,MPOB_008,1,0.747,0.1269,0.6201,30.0
20.9925,B2,B,2,MPOB_008,1,0.749,0.1269,0.6221,30.0
21.3258,B2,B,2,MPOB_008,1,0.75,0.1268,0.6232,30.0
21.6592,B2,B,2,MPOB_008,1,0.752,0.1269,0.6251,30.0
21.9925,B2,B,2,MPOB_008,1,0.755,0.1269,0.6281,30.0
22.3258,B2,B,2,MPOB_008,1,0.757,0.1269,0.6301,30.0
22.6592,B2,B,2,MPOB_008,1,0.76,0.1269,0.6331,30.0
22.9925,B2,B,2,MPOB_008,1,0.762,0.1269,0.6351,30.1
23.3258,B2,B,2,MPOB_008,1,0.764,0.1269,0.6371,30.0
23.6592,B2,B,2,MPOB_008,1,0.765,0.1269,0.6381,30.0
23.9925,B2,B,2,MPOB_008,1,0.766,0.1269,0.6391,30.0
24.3258,B2,B,2,MPOB_008,1,0.768,0.1269,0.6411,30.1
24.6592,B2,B,2,MPOB_008,1,0.771,0.1269,0.6441,30.0
24.9925,B2,B,2,MPOB_008,1,0.773,0.1269,0.6461,30.0
25.3258,B2,B,2,MPOB_008,1,0.774,0.127,0.647,30.1
25.6592,B2,B,2,MPOB_008,1,0.776,0.1269,0.6491,30.1
25.9925,B2,B,2,MPOB_008,1,0.778,0.1269,0.6511,30.1
26.3258,B2,B,2,MPOB_008,1,0.781,0.1269,0.6541,30.1
26.6592,B2,B,2,MPOB_008,1,0.785,0.1269,0.6581,30.0
26.9925,B2,B,2,MPOB_008,1,0.788,0.1269,0.6611,30.1
27.3258,B2,B,2,MPOB_008,1,0.789,0.1269,0.6621,30.1
27.6592,B2,B,2,MPOB_008,1,0.791,0.1268,0.6643,30.1
27.9925,B2,B,2,MPOB_008,1,0.791,0.1269,0.6641,30.1
28.3258,B2,B,2,MPOB_008,1,0.792,0.1269,0.6651,30.1
28.6592,B2,B,2,MPOB_008,1,0.791,0.1269,0.6641,30.1
28.9925,B2,B,2,MPOB_008,1,0.792,0.1268,0.6653,30.1
29.3258,B2,B,2,MPOB_008,1,0.793,0.1269,0.6661,30.0
29.6592,B2,B,2,MPOB_008,1,0.796,0.1269,0.6691,30.0
29.9925,B2,B,2,MPOB_008,1,0.8,0.1268,0.6733,30.0
30.3258,B2,B,2,MPOB_008,1,0.799,0.1268,0.6723,30.0
30.6592,B2,B,2,MPOB_008,1,0.799,0.1268,0.6723,30.1
30.9925,B2,B,2,MPOB_008,1,0.799,0.1268,0.6723,30.0
31.3258,B2,B,2,MPOB_008,1,0.806,0.1268,0.6793,30.0
31.6592,B2,B,2,MPOB_008,1,0.803,0.1269,0.6761,30.0
31.9925,B2,B,2,MPOB_008,1,0.802,0.1269,0.6751,30.0
