condition,wavelength,n_reps,AUC_t_min_h,AUC_t_max_h,mu_win_start_min_h,mu_win_start_max_h,mu_win_end_min_h,mu_win_end_max_h,mu_t_centre_mean_h,mu_t_centre_std_h,mu_r2_mean,mu_r2_min,mu_n_median
MPOB_008,590,4.000,0.000,47.666,2.000,2.666,5.666,6.666,4.333,0.272,0.965,0.961,13.000
MPOB_058,590,4.000,0.000,47.666,1.999,2.666,5.999,6.666,4.333,0.272,0.969,0.964,13.000
MPOB_041,590,4.000,0.000,47.666,2.666,4.333,6.666,8.000,5.250,0.788,0.974,0.967,12.000
MPOB_045,590,4.000,0.000,47.666,1.666,2.333,5.666,6.333,3.916,0.319,0.970,0.966,13.000
MPOB_068,590,4.000,0.000,47.666,2.333,4.333,6.333,8.000,5.333,0.861,0.985,0.980,13.000
ctrl_media,590,16.000,0.000,47.666,1.666,3.666,5.666,7.666,4.416,0.538,0.982,0.962,13.000
MPOB_008,740,4.000,0.004,47.670,2.004,3.004,6.004,7.004,4.421,0.419,0.971,0.964,12.000
MPOB_058,740,4.000,0.004,47.670,2.337,3.004,6.004,7.004,4.587,0.319,0.976,0.973,12.000
MPOB_041,740,4.000,0.004,47.670,3.004,4.671,7.004,8.671,5.588,0.787,0.976,0.972,13.000
MPOB_045,740,4.000,0.004,47.670,1.671,2.338,5.671,6.004,4.004,0.272,0.972,0.968,13.000
MPOB_068,740,4.000,0.004,47.670,2.671,5.004,6.671,9.004,5.921,1.101,0.988,0.986,13.000
ctrl_media,740,16.000,0.004,47.670,2.338,4.338,6.004,8.338,5.150,0.516,0.986,0.968,13.000
