condition,n_reps,AUC_740_mean,AUC_740_std,max_delta_740_mean,max_delta_740_std,mu_max_740_mean_per_h,mu_max_740_std_per_h,doubling_time_740_mean_h,doubling_time_740_std_h,AUC_590_mean,AUC_590_std,max_delta_590_mean,max_delta_590_std,mu_max_590_mean_per_h,mu_max_590_std_per_h,doubling_time_590_mean_h,doubling_time_590_std_h
MPOB_008,4,5.271,0.133,0.162,0.002,0.259,0.02,2.689,0.217,7.066,0.252,0.223,0.005,0.279,0.007,2.486,0.067
MPOB_041,4,4.228,0.178,0.121,0.003,0.251,0.006,2.767,0.07,5.748,0.255,0.17,0.004,0.296,0.012,2.347,0.096
MPOB_058,4,5.119,0.133,0.152,0.007,0.247,0.009,2.809,0.1,6.948,0.294,0.21,0.011,0.281,0.008,2.468,0.066
MPOB_020,4,3.715,0.163,0.099,0.005,0.225,0.011,3.081,0.149,4.979,0.196,0.136,0.006,0.259,0.014,2.687,0.152
MPOB_063,4,2.634,0.215,0.07,0.008,0.215,0.013,3.239,0.184,3.656,0.349,0.101,0.014,0.248,0.014,2.805,0.148
MPOB_068,4,4.024,0.16,0.125,0.003,0.202,0.006,3.438,0.105,5.403,0.144,0.174,0.003,0.239,0.007,2.898,0.085
MPOB_029,4,2.901,0.285,0.077,0.009,0.201,0.009,3.445,0.149,4.021,0.373,0.108,0.013,0.232,0.004,2.989,0.055
MPOB_064,4,3.289,0.081,0.096,0.005,0.2,0.006,3.474,0.107,4.483,0.184,0.134,0.007,0.231,0.007,3.006,0.088
MPOB_024,4,2.048,0.195,0.061,0.005,0.197,0.016,3.535,0.276,2.862,0.243,0.082,0.008,0.235,0.019,2.959,0.226
MPOB_034,4,3.445,0.165,0.097,0.005,0.192,0.011,3.622,0.209,4.73,0.205,0.137,0.007,0.231,0.021,3.024,0.285
MPOB_059,4,2.648,0.147,0.069,0.005,0.192,0.009,3.625,0.178,3.639,0.165,0.097,0.006,0.226,0.016,3.084,0.215
MPOB_045,4,4.233,0.18,0.137,0.005,0.191,0.009,3.64,0.171,5.62,0.241,0.186,0.006,0.229,0.014,3.034,0.196
MPOB_010,4,3.324,0.166,0.091,0.005,0.189,0.007,3.677,0.146,4.463,0.175,0.124,0.006,0.226,0.017,3.084,0.232
